Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:48:40
============================================================
Порт  9810: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9809: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9808: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9807: CLOSED     | Сервис: Unknown         | Время: 1.511 сек
Порт  9806: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9805: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9804: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9803: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9802: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9801: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9800: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9799: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9798: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9797: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9796: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9795: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9794: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9793: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9792: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9791: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9790: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9789: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9788: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9787: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9786: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9785: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9784: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9783: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9782: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9781: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9780: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9779: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9778: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9777: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9776: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9775: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9774: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9773: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9772: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9771: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9770: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9769: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9768: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9767: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9766: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9765: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9764: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9763: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9762: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9761: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9760: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9759: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9758: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9757: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9756: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9755: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9754: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9753: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9752: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9751: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9750: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9749: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9748: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9747: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9746: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9745: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9744: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9743: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9742: CLOSED     | Сервис: Unknown         | Время: 1.519 сек
Порт  9741: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9740: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9739: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9738: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9737: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9736: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9735: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9734: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9733: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9732: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9731: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9730: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9729: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9728: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9727: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9726: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9725: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9724: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9723: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9722: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9721: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9720: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9719: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9718: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9717: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9716: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9715: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9714: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9713: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9712: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9711: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9710: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9709: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9708: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9707: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9706: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9705: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9704: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9703: CLOSED     | Сервис: Unknown         | Время: 1.505 сек
Порт  9702: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9701: CLOSED     | Сервис: Unknown         | Время: 1.503 сек
Порт  9700: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9699: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9698: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9697: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9696: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9695: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9694: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9693: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9692: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9691: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9690: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9689: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9688: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9687: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9686: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9685: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9684: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9683: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9682: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9681: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9680: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9679: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9678: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9677: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9676: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9675: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9674: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9673: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9672: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9671: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9670: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9669: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9668: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9667: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9666: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9665: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9664: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9663: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9662: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9661: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9660: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9659: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9658: CLOSED     | Сервис: Unknown         | Время: 1.512 сек
Порт  9657: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9656: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9655: CLOSED     | Сервис: Unknown         | Время: 1.513 сек
Порт  9654: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9653: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9652: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9651: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9650: CLOSED     | Сервис: Unknown         | Время: 1.514 сек
Порт  9649: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9648: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9647: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9646: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9645: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9644: CLOSED     | Сервис: Unknown         | Время: 1.515 сек
Порт  9643: CLOSED     | Сервис: Unknown         | Время: 1.516 сек
Порт  9642: CLOSED     | Сервис: Unknown         | Время: 1.500 сек
Порт  9641: CLOSED     | Сервис: Unknown         | Время: 1.500 сек
Порт  9640: CLOSED     | Сервис: Unknown         | Время: 1.500 сек
Порт  9639: CLOSED     | Сервис: Unknown         | Время: 1.500 сек
Порт  9638: CLOSED     | Сервис: Unknown         | Время: 1.500 сек
Порт  9637: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9636: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9635: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9634: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9633: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9632: CLOSED     | Сервис: Unknown         | Время: 1.501 сек
Порт  9631: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9630: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9629: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9628: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
Порт  9627: CLOSED     | Сервис: Unknown         | Время: 1.502 сек
