Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:25:58
============================================================
Порт   654: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   653: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   652: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   651: CLOSED     | Сервис: Unknown         | Время: 2.018 сек
Порт   650: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   649: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   648: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   647: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   646: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт   645: CLOSED     | Сервис: Unknown         | Время: 2.021 сек
Порт   644: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   643: CLOSED     | Сервис: Unknown         | Время: 2.022 сек
Порт   642: CLOSED     | Сервис: Unknown         | Время: 2.021 сек
Порт   641: CLOSED     | Сервис: Unknown         | Время: 2.021 сек
Порт   640: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт   639: CLOSED     | Сервис: Unknown         | Время: 2.022 сек
Порт   638: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   637: CLOSED     | Сервис: Unknown         | Время: 2.020 сек
Порт   636: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   635: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт   634: CLOSED     | Сервис: Unknown         | Время: 2.022 сек
Порт   633: CLOSED     | Сервис: Unknown         | Время: 2.017 сек
Порт   632: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   631: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   630: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   629: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   628: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   627: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   626: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   625: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   624: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   623: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
