Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:20:46
============================================================
Порт   173: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   172: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   171: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   170: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   169: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   168: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   167: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   166: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   165: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   164: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   163: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   162: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   161: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   160: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   159: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   158: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   157: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   156: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   155: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   154: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   153: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   152: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   151: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   150: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   149: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   148: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   147: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   146: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   145: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   144: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   143: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   142: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
